id|movie_id|user_uid|seen_date|to_watch|was_seen|rating|created_at
87156597-11f2-469f-a56d-f9a67b7cd258|9e5cadd5-8e68-4e58-8dd9-599c0d726d53|Y65kH8EWhHYHe57xYPumxPGnDWw2||t|f|0|2020-10-13 18:41:54.300199+00
f8e25dcb-4112-40e9-aa99-bbb75d37ff3f|d039c717-89dc-48cb-b605-85a0ac50dc44|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|f|0|2020-10-13 21:28:23.886703+00
4bca8ed7-0593-470d-bc3a-f45674411fd7|55323ec8-538c-42e1-8dae-fae6b05a204c|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|f|0|2020-10-13 21:28:25.35605+00
efcad705-c8e4-4621-ad9f-54234a521eb8|923ecfb7-0ad3-4866-a349-dbed531dde6c|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|f|0|2020-10-13 21:28:26.797402+00
059df010-9258-41c5-abb4-89243f6b80c0|6a9e4458-5a3a-4325-8224-dc65cf2e03ab|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|f|0|2020-10-13 21:28:27.966799+00
8da1bc4e-bc4d-4d39-9602-ca2412454388|f537d522-ed9f-4857-a453-4e831732d92f|Y65kH8EWhHYHe57xYPumxPGnDWw2||t|f|0|2020-10-13 18:41:57.174204+00
68683e57-5f3c-4b30-adac-4839fb0f4676|afa8c807-29cc-4baa-b61a-6189b082f4fa|Y65kH8EWhHYHe57xYPumxPGnDWw2||t|f|0|2020-10-13 18:41:55.652722+00
770e6829-9fa4-40c6-abd2-42f2bc0ebb14|e8c458b9-00b2-4a05-9546-4e4192d0cd73|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|f|0|2020-10-13 21:28:06.975767+00
615b9335-9aa5-458d-812a-3a1ed15bfb29|ceaaae66-a067-4ca8-a8b2-5733d036408c|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|f|0|2020-10-13 21:28:05.404633+00
932ac373-32bb-44e0-a573-eeefd994d4a4|628f9243-0dee-4aa2-89d8-184d368f7d2a|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|f|0|2020-10-13 21:12:31.534243+00
1189dcae-0d59-43dc-ba68-ac4592271154|afcbf32f-c02c-4cc5-aa34-05a70ba8315e|Y65kH8EWhHYHe57xYPumxPGnDWw2||t|f|0|2020-10-15 10:12:09.61871+00
ba038ba8-7134-4803-be82-04cb4277c082|911de728-efb4-48f4-9216-6a78c6dd05bb|Y65kH8EWhHYHe57xYPumxPGnDWw2||t|t|3|2020-10-15 10:14:00.830584+00
3618fb1d-270e-4f40-b74b-0edc848ea1d3|537db73f-2695-4f53-8e96-7ae86e4aeb0e|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|t|5|2020-10-15 10:11:28.414371+00
0c44e698-cab4-439b-8761-bfded5247219|d2effe15-e0fd-4f38-ac10-a794fe41625d|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|t|3|2020-10-13 21:12:19.1003+00
3e1d787f-d053-465e-b20f-2dd4f95680c9|d6946dcc-3c12-4e8e-9a77-cfa8683e0ff6|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|t|3|2020-10-15 10:11:56.657236+00
dc701ff9-5284-44b9-80ca-212dcc9b13bc|e6598f24-3936-45ee-af01-7951cc4a6078|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|t|5|2020-10-15 10:12:24.086837+00
be4e9883-83d6-4c53-acc3-f7b327990798|3926d7c5-049d-4d53-a041-f7588250629e|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|t|3|2020-10-15 10:13:51.569316+00
568b94bf-019f-40d6-810d-9af4828f40f6|57a17f28-657c-4a41-b8ac-6ec60b0ff5c5|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|t|5|2020-10-15 10:11:31.197187+00
3339b4c4-ff18-4eed-b222-e1227b573184|73a644e6-ebe6-4907-b5fc-598ab692c878|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|t|3|2020-10-15 10:11:20.141501+00
9431fc48-baf9-45b4-aaef-8dc5a1907c83|6192848c-7e6e-4690-951c-c0c5907ff013|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|t|3|2020-10-15 10:13:08.600015+00
aa988ca5-ad8f-47da-9ed0-c0d257849377|90680ec7-1b86-43d1-9970-cddb6a5833b5|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|f|0|2020-10-24 18:32:22.13385+00
c17ec401-6404-4e64-8065-8e764de1c1b9|26d96f30-9776-431e-968b-25394f62430b|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|t|1|2020-10-15 10:13:25.853553+00
2ad0a503-8f89-4279-98af-2b19b225d88d|050896cb-cc87-4590-ab6d-0f7a54063f5f|Y65kH8EWhHYHe57xYPumxPGnDWw2||f|t|1|2020-10-15 10:11:44.53178+00
